INT	INT	STRING	STRING	STRING	STRING	STRING	INT
30	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪颗行星不属于太阳系？	赛博特恩	地球	水星	木星	1
31	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G嫦娥住在哪个地方上？	地球	天王星	月亮	恒星	3
32	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个时期我国的版图最大？	夏朝	战国	春秋	元朝	4
33	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《史记》的作者是谁？	汉武帝	秦始皇	项羽	司马迁	4
34	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪种动物不是恐龙？	霸王龙	翼龙	三角龙	熊猫	4
35	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中快速换乘骑乘的快捷键是？	A	S	D	X	4
36	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蒙古人喜欢喝什么酒？	马奶酒	茅台	五粮液	二锅头	1
37	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗时期的蒙古军基本上是？	骑兵	步兵	工兵	炮兵	1
38	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面人物哪个不是成吉思汗的儿子？	术赤	托雷	窝阔台	哲别	4
39	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下一届奥运会将在哪里举办？	北京	悉尼	伦敦	旧金山	3
40	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的名字？	王汗	铁木真	扎木合	忽必烈	2
41	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中背包的快捷键是？	G	S	B	C	3
42	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个不是金庸的小说？	楚留香	射雕英雄传	侠客行	碧血剑	1
43	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个国家发生地震的可能性最大：	日本	俄罗斯	南非	美国	1
44	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗第一套声望装最低多少级可以装备？	20级	30级	40级	60级	1
45	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G神传水晶可以通过副本-藏宝洞大量产出，那么多少级以上的怪物才会掉落此物？	20级	30级	35级	60级	4
46	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G西厢记的作者王实甫和张生是什么关系？	父子	兄弟	亲属	朋友	4
47	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的哪个儿子接替了蒙古大汗之位？	拔都	旭烈兀	察合台	窝阔台	4
48	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G忽必烈和成吉思汗是什么关系？	父子	叔侄	兄弟	祖孙	4
49	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G元朝的后一个朝代是什么朝？	明朝	宋朝	清朝	金朝	1
50	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G忽必烈建国之时，给他定国号大元的人是谁？	刘秉忠	忽必烈	成吉思汗	托雷	1
51	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的世界中，犀牛是什么类型的宠物？	体质型	智力型	魔力型	全能型	1
52	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的世界中，最快速地回复活力的方法是？	吃融雪丹	吃红花	吃活力丹	吃甘草	3
53	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大都的舞厅是一种人人都爱去的地方，在那里跳舞能够增加声望吗？	不清楚	不可以	可以	有时可以	3
54	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G建立大元的忽必烈是哪一个家族的成员？	海都家族	察合台家族	托雷家族	不清楚	3
55	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G能够改变宠物属性和技能的物品叫什么？	红花	甘草	还童书	活力丹	3
56	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G历史上帮助朱元璋修建南京城，拥有“聚宝盆”被称为“活财神”的人叫什么？	方国珍	韩山童	沈万三	常遇春	3
57	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G元朝的开国皇帝是？	王汗	铁木真	扎木合	忽必烈	2
58	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“郁金香”是哪个国家的象征？	法国	德国	英国	荷兰	4
59	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上第一个国家颁布的药典出现在：	中国唐朝  	罗马帝国	阿拉伯帝国	西班牙王国	1
60	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G较早使用的活字是：	木活字	陶活字  	铜活字	铁活字	2
61	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“大珠小珠落玉盘“所形容的是什么乐器的弹奏声？	洋琴	琵琶	圆号	马头琴	2
62	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吴道子的作品是：	清明上河图	八阵图	天王送子图 	和平鸽	3
63	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为“诗圣“的唐代诗人为：	王安石	白居易	苏轼	杜甫 	4
64	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“宪法“一词最早来源于：	汉语	日语	拉丁文	韩语	3
65	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《嘎达梅林》是哪个民族的叙事歌曲？	高山族	蒙古族 	汉族	回族	2
66	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪座山是中国佛教四大名山之一？	燕山	衡山	峨嵋山 	南岭	3
67	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“泗水文章昭日月，杏坛礼乐冠华夷”中的“杏坛”指的是：	讲台	教舍	孔子讲学的地方  	佛塔	3
68	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国古代名医华佗为谁所杀? 	曹操 	孙权	刘备	曹丕	1
69	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G自称“白蒙古”的民族是哪一民族？	汉族	回族	满族	土族  	4
70	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“瘦金体”由谁所创？	蔡京	高俅	方腊	宋徽宗 	4
71	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“海市蜃楼”现象在不同时间内出现的影像有正有倒，请问呈倒象的是什么时段？	下午时段  	上午时段	晚上时段	傍晚时段	1
72	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G码头一般建在河流的：	凸岸	南岸	凹岸 	北岸	3
73	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G馒头是谁发明的？	诸葛亮 	孟获	铁木真	关羽	1
74	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个火山的爆发毁灭了古罗马帝国的庞贝城？ 	乞力马扎罗山	维苏威火山 	富士山	五大连池	2
75	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G新石器与旧石器的差别是：	材料的区别 	生活区别	财富区别	时间区别	1
76	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“春风不度玉门关”是谁的诗句？ 	王之涣 	孟浩然	杜甫	白居易	1
77	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G按风俗，“腊八粥”应在阴历哪一天喝？ 	正月三十	端午节	中秋节	十二月初八 	4
78	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G南北朝时，北方民歌艺术的最高成就是：	长门赋	滕王阁序	敕勒歌 	兰亭集序	3
79	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G李白笔下的“飞流直下三千尺，疑是银河落九天”指的是哪个风景区？	庐山 	泰山	五台山	少室山	1
80	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G先秦时，龙的形象和图案被普遍地比喻为：	皇帝	大臣	将军	君子 	4
81	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体最坚硬的部分是哪一部分？	手	脚	头骨	牙齿	4
82	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最大的洲是哪一洲？	欧洲	非洲	北美洲	亚洲	4
83	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“神舟”五号首飞”成功，宇航员是谁？	费俊龙	聂海胜	杨利伟	陈一坚	3
84	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G用什么锅炒菜，对人体健康更有益？	铝锅	铜锅	铁锅	火锅	3
85	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“美人鱼”是安徒生的哪部童话里的人物？	小红帽	睡美人	海的女儿	白雪公主	3
86	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G书画作品中的“四君子”指哪四种植物？	梅兰竹松	梅兰竹菊	梅松竹菊	梅兰松菊	2
87	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G举世闻名的泰姬陵在：	缅甸	泰国	印度	马来西亚	3
88	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“白雪公主”这个形象最早来自于：	一千零一夜	千与千寻	格林童话	天方夜谭	3
89	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“卧薪尝胆”说的是：	夫差	管仲	勾践	伍子胥	3
90	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“冰激凌”是从哪国传进的外来语？	法国	西班牙	英国	奥地利	3
91	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G男士参加音乐会应该穿？	燕尾服	正装西服	运动服	礼服	2
92	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G多大的数字被称为天文数字？	万以上	亿以上	百亿以上	不清楚	2
93	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“明月几时有？把酒问青天。”是谁的诗词？	辛弃疾	李商隐	苏东坡	李清照	3
94	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“不为五斗米折腰”的古代人物是？	李商隐	陶渊明	李清照	骆宾王	2
95	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《清明上河图》作于？	元代	宋代	后周	南唐	2
96	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G音乐界所说的大小“施特劳斯”是什么关系？	兄弟关系	父子关系	师徒关系	叔侄关系	2
97	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界名画《和平鸽》的创作者是？	莫奈	梵高	达芬奇	毕加索	4
98	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G通常情况下，中秋节晚上的月亮总是比第二天晚上的月亮亮吗？	是	有时是	不一定	不是	4
99	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我们日常的主食基本上属于什么食物？	碱性食物	中性食物	多种多样	酸性食物	4
100	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“廿”是表示？	三十	二十	五十	四十	2
101	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“户枢不蠹”的“不蠹”是什么意思？	生虫	不生虫	糟粕	生锈	2
102	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G请在“人闲_____落，夜静春山空”的空白处填入一种花名	槐花	桂花	杏花	桃花	2
103	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代的六艺中与体育有关的有几项？	2项	3项	4项	6项	1
104	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G月球上看天空是？	黑色的	白色	无色	蓝色	1
105	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G龙在十二生肖中排行第几？	五	六	八	十	1
106	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G从月球上看地球的唯一建筑物是？	长城	什么也看不到	金字塔	世贸大厦	2
107	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G奥运会各项比赛的第四、五、六名，所获的奖励为？	有奖状没有奖章	奖章	奖金	什么都没有	1
108	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在古希腊神话中，爱与美的女神叫做？	阿芙洛狄特	赫拉	潘多拉	奥列迪克	1
109	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G 创作芭蕾舞剧“天鹅湖”的音乐家是：	柴可夫斯基	茹科夫	果戈里	布哈林	1
110	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有“钢琴诗人”之称的是：	肖邦	莫扎特	小施特劳斯	柴可夫斯基	1
111	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一个人在什么情况下，才处于真正的人人宰割的地步？	睡觉时	运动时	遇到危险时	手术台上	4
112	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G你能在一分钟内说出太平洋的中间是什么吗？	平字	太字	洋字	夏威夷	1
113	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G什么东西天气越热，它爬的越高？	温度计	爬山虎	向日葵	太阳	1
114	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G什么照片看不出照的是谁？	X光	激光	数码相机	海鸥相机	1
115	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G考试中一对同桌交了一模一样的考卷，但老师为什么认为他们没作弊。	都交的白卷 	没有坐在一起	不清楚	不在同一考场	1
116	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《掷铁饼者》是谁雕塑的？	米伦	米开朗基罗	达芬奇	梵高	1
117	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G国际奥委会总部设在何处？	美国纽约	法国巴黎	奥地利维亚纳	瑞士洛桑	4
118	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G黄金首饰通常用“K”表含金量，那么18K代表百分之几的含金量？	25	55	100	75	4
119	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G冷冻的汽水和常温下的汽水哪个泡沫更多？	冷冻的汽水 	常温的汽水	一样	不清楚	1
120	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吃了榴莲后应该吃什么防止上火？	杨桃	杨梅	柑橘	山竹	4
121	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G得肾炎的病人最好不要吃：	过咸的食品 	过淡的食品	过甜的食品	过辣的食品	1
122	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G著名的九寨沟风景名胜区位于哪个省份？	四川 	湖北	湖南	贵州	1
123	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G食糖过多会导致体内哪种元素的缺乏？	维生素B1	维生素C	维生素A	维生素E	1
124	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“除四害、讲卫生”，哪种不是“四害”？	麻雀	蚊子	蟑螂	老鼠	1
125	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列不属于食用真菌的是：	金针菜 	平菇	金针菇	香菇	1
126	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国的“国酒”是：	茅台 	五粮液	西风	汾酒	1
127	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G著名的旅游风景区庐山坐落哪个省。	江西	安徽	海南	湖南	1
128	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G什么是我国特有的货币政策工具？	利率政策	国家监管	外汇储备	市场经济	1
129	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G道家创始人是？	老子	孟子	孔子	孙子	1
130	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G傣族的泼水节是在每年公历四月中还是农历四月中？	农历	一样	不清楚	公历	4
131	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G煤气中毒后应主意保暖，否则易引起：	感冒	肝炎	心肌梗	肺炎 	4
132	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G近代中国签订的第一个不平等条约是？	南京条约	马关条约	辛丑条约	北京条约	1
133	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G甜菜的哪个部分，是制糖原料？	块根 	枝叶	花	果实	1
134	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上地势最低的国家是：	荷兰 	新西兰	马尔代夫	丹麦	1
135	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G杭州名菜“西湖醋鱼”的别称是：	松鼠桂鱼	清蒸鲑鱼	糖醋鱼	宋嫂鱼 	4
136	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国公民身份证号码有多少位？	15	19	21	18	4
137	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上第一个赋予妇女选举权的国家是：	新西兰 	英国	澳大利亚	法国	1
138	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G扑克牌中的“草花”象征着什麽？ 	愤怒	失落	甜蜜	幸福 	4
139	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G泰迪熊是商家根据哪位总统打猎的故事而推出的一个玩具呢？	西奥多罗斯福 	胡佛	肯尼迪	林肯	1
140	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有“果王”美称的水果是：	山竹	桂圆	荔枝	榴莲 	4
141	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列属于中国四大道教名山的是：	海南五指山	北京军都山	湖北武当山 	甘肃贺兰山	3
142	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G苏州四大园林之一的留园建于哪一年代？	元	明	清 	宋	3
143	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国四大藏书阁之一的文津阁坐落于：	宁波	上海	承德 	杭州	3
144	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G草莓在哪国作为蔬菜？	韩国	菲律宾	日本 	马来西亚	3
145	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国四大书院之一的岳麓书院坐落于：	湖北	湖南 	河南	江西	2
146	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G长江三峡由西陵峡、巫峡、瞿塘峡组成，其中最长的一个峡为：	巫峡	西陵峡 	瞿塘峡	一样长	2
147	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G理发店门前都有一个红、蓝、白三色带组成的旋转柱，其中白色代表：	头发	护理	绷带 	手帕	3
148	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人们在制作饼干、面包时常往里面掺进一些：	花生酱	小苏打 	果汁	果酱	2
149	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G塔是宗教建筑之一，最早的古塔是从哪个国家传入中国的？	阿拉伯	印度 	缅甸	泰国	2
150	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国家用电的使用是：	直流电	高压电	无线电	交流电 	4
151	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大豆是部分豆类的统称，哪些不属于大豆？	黄豆 	青豆	黑豆	豇豆	4
152	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G菜汤上浮着一层油会使菜汤凉得：	变快	不影响	不清楚	更慢 	4
153	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G普洱茶的产地在哪？	江西	湖北	福建	云南 	4
154	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G金鱼源于：	鲤鱼	野生鲫鱼 	草鱼	野生鲑鱼	2
155	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G送给恋人101朵花表示：	一心一意	相守一生	无尽的爱 	一生一世	3
156	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G为了使水尽快结冰，你应该放入糖，盐，雪，碱中的哪一种？	糖	雪 	盐	碱	2
157	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最适合送给新婚夫妇的花：	火鹤花 	康乃馨	百合	红掌	1
158	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G情人节送凤梨表示：	相守一生	亲密无间	情深意重	完美无缺 	4
159	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G豆类及其制品食后可增强哪个器官的解毒功能：	心脏	肾脏	肝脏 	脾脏	3
160	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“新谷酒”是哪个民族的习俗？	傣族	壮族	哈尼族	土家族	3
161	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最早发行国际信用卡的银行是：	中国银行 	交通银行	工商银行	建设银行	1
162	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G笄礼是古代女子几岁成年的插笄仪式？	15	18	20	23	1
163	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蟹粉狮子头是哪个菜系的菜？	苏菜	川菜	鲁菜	粤菜	1
164	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一种动物在印度忌食因其被认为是神圣的东西？	羊	猪	牛 	狗	3
165	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列农产品最早由我国栽培的有： 	大白菜	番茄	荷兰豆	洋葱	1
166	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“走油豆豉扣肉”是哪个地方的特色菜？	湖南	湖北	江西	河南	1
167	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在竹制凉席中用哪种竹编的质量最好？	罗汉竹	青竹	水竹 	文竹	3
168	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G正月初一吃饺子这一习俗从哪个朝代开始？	明	宋	元	清	1
169	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G太平天国初期的东王是：	韦昌辉	杨秀清 	洪秀全	石达开	2
170	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《局外人》作者是：	都德	加缪 	歌德	狄更斯	2
171	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G三月街是我国哪一民族一年中最盛大的节日？	傣族	京族	高山族	白族 	4
172	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G复活节岛地处：	北太平洋	南太平洋	印度洋	南大西洋	2
173	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G牛郎星是哪一个星座的第一亮星？	天琴座	天鹰座 	狮子座	猎户座	2
174	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G八股取士始于何时？	清朝	南宋	北宋	明朝	4
175	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G波旁王朝是哪个国家的？	英国	法国 	德意志	奥地利	2
176	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G内蒙境内最大的湖泊为：	呼伦湖	天池	洪泽湖	太湖	1
177	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为“万园之园”的是：	颐和园	圆明园 	拙政园	畅春园	2
178	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人全身共有几块骨头？	205块	200块	206块 	216块	3
179	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国高出地面的最大“悬湖”是：	天池	洪泽湖 	纳木错	羊八井	2
180	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古埃及文明的一大遗憾是没有留下？	史书 	历法	文学	文字	1
181	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G至今为止，地球的年龄约有：	40亿年	45-46亿年 	50亿年	47亿年	2
182	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为太阳王的国王是谁？	路易十六	路易十四	路易十三	路易十五	2
183	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G发源于我国，唯一注入北冰洋的河流是：	黑龙江	额尔齐斯河 	塔里木河	额尔古纳河	2
184	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上华人、华侨最集中的地区是：	美国	西欧	大洋洲	东南亚	4
185	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G欧洲著名的百年战争发生在哪两个国家？	英美	英法	法德	法奥	2
