INT	STRING	STRING	STRING	STRING	STRING	INT
126021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
126024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
126025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
126026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
126027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
126028	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
129017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
129018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
129019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
129020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
129021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
129024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
129025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
129026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
129027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
129029	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
132017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
132018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
132019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
132020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
132021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
132024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
132025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
132026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
132027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
132028	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
